latitude,longitude,reflectivity_dbz,rainfall_rate_mm_hr,rainfall_intensity_category,timestamp
22.090904,87.270198,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.390793,88.006618,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.077732,87.377394,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.703518,89.816709,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.857098,88.453276,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.131588,89.061751,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.75328,88.323635,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.152902,87.318199,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.69547,90.546769,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.723458,86.353928,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.56324,88.353222,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.727434,86.813202,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.344705,87.932001,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.470407,88.18379,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.404094,88.059998,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.308115,87.673875,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.35116,89.856935,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.006594,88.402891,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.374658,87.241794,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.44582,87.140881,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.135379,89.098638,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.102103,88.615478,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.285289,88.83909,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.558565,88.987313,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.011886,86.898316,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.241274,87.452652,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.446919,88.157343,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.867281,89.374125,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.958352,89.686731,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.328505,86.413039,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.244636,90.124756,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.266799,90.18356,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.243475,85.995517,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.730242,87.086926,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.279086,87.513548,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.123417,87.06174,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.141835,89.930051,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.179134,88.535011,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.489015,86.285252,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.474452,85.969654,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.399432,87.771241,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.438833,88.933313,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.781626,87.430432,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.067382,86.629733,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.934291,88.981245,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.063409,90.160222,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.083054,89.721975,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.667451,88.767027,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.56945,88.085127,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.357841,87.52368,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.213194,89.270532,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.78674,89.019049,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.656813,88.379622,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.237549,88.446091,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.150194,89.803276,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.82335,90.073173,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.49367,87.367345,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.265542,88.094132,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.764088,89.29528,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.296811,90.011526,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.0686,86.260323,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.883233,86.964675,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.292293,86.989089,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.523525,88.087713,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.0491,87.231933,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.482587,88.359791,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.129113,88.679809,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.619608,87.090926,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.660314,88.579667,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.042637,86.300641,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.828299,90.280466,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.226887,88.12005,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.560482,88.298793,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.471361,87.625657,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.418488,87.236347,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.478602,88.003439,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.297602,88.199964,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.510968,90.094826,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.334679,86.816325,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.668671,87.291576,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.118225,86.802415,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.977112,89.080603,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.210434,87.595565,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.306901,88.218705,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.214983,87.133109,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.679785,87.386156,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.192251,89.209002,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.874674,88.036418,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.000005,88.969577,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.56391,88.280411,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.87058,87.67238,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.339759,88.269273,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.543993,88.393054,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.157992,88.742321,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.369049,88.286419,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.448366,86.172614,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.574535,89.731287,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.706663,90.769402,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.603072,89.151582,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.65471,88.425056,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.343838,88.026326,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.077156,88.447224,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.600941,88.527864,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.191571,88.405428,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.656273,89.055469,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.884641,89.201278,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.131968,88.20702,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.8077,87.757738,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.410368,89.506339,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.576515,87.719348,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.629958,87.929108,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.588966,88.486596,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.066537,88.992409,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.563534,88.011729,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.427063,87.988974,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.566126,89.444736,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.033197,88.01992,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.577691,87.814787,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.026702,89.24721,60.0,328.354,Very Heavy,2025-04-27 00:22:33
